"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"54823099999","2020-01-01","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  32.8"," 8","  13.6"," 8","1031.7"," 8","009.9"," 8","  9.4"," 8","  4.0"," 8","  5.1"," 13.6","  40.5"," ","  14.0"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-02","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  34.3"," 8","  22.1"," 8","1031.5"," 8","009.8"," 8","  3.1"," 8","  3.1"," 8","  3.9","  9.7","  44.1"," ","  27.9"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-03","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  37.0"," 8","  25.3"," 8","1029.2"," 8","007.6"," 8","  2.2"," 8","  2.9"," 8","  3.9","999.9","  46.0"," ","  28.4"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-04","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  40.5"," 8","  29.1"," 8","1028.8"," 8","007.4"," 8","  1.3"," 8","  2.6"," 8","  4.3","999.9","  49.6"," ","  30.4"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-05","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  36.5"," 8","  33.8"," 8","1027.5"," 8","006.0"," 8","  0.6"," 8","  3.0"," 8","  6.0"," 18.3","  49.6"," ","  33.1"," "," 0.45","G","  0.4","110000"
"54823099999","2020-01-06","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  34.9"," 8","  34.5"," 8","1023.2"," 8","001.7"," 8","  0.6"," 8","  4.6"," 8","  6.8"," 20.8","  41.0"," ","  32.4","*"," 0.23","G","999.9","111000"
"54823099999","2020-01-07","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  28.7"," 8","  27.6"," 8","1025.1"," 8","003.3"," 8","  1.2"," 8","  4.6"," 8","  8.5"," 21.0","  36.3"," ","  22.5"," "," 0.46","G","  0.4","001000"
"54823099999","2020-01-08","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  27.6"," 8","  21.1"," 8","1030.4"," 8","008.5"," 8","  8.5"," 8","  2.6"," 8","  3.9"," 11.7","  36.9"," ","  21.9"," "," 0.00","G","  3.5","000000"
"54823099999","2020-01-09","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  32.8"," 8","  24.2"," 8","1027.9"," 8","006.1"," 8","  8.6"," 8","  2.7"," 8","  4.3","999.9","  42.3"," ","  22.1"," "," 0.00","G","  2.8","000000"
"54823099999","2020-01-10","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  33.1"," 8","  25.5"," 8","1026.4"," 8","004.7"," 8","  3.1"," 8","  2.6"," 8","  3.9","  9.7","  42.3"," ","  22.5"," "," 0.00","G","999.9","100000"
"54823099999","2020-01-11","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  29.3"," 7","  21.1"," 7","1026.1"," 7","004.3"," 7","  3.4"," 7","  2.4"," 7","  3.9","999.9","  41.4"," ","  23.2"," "," 0.00","G","  1.6","100000"
"54823099999","2020-01-12","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  28.9"," 8","  22.3"," 8","1025.2"," 8","003.4"," 8","  2.3"," 8","  3.3"," 8","  4.3","999.9","  37.0"," ","  23.0"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-13","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  28.7"," 7","  22.8"," 7","1027.4"," 7","005.5"," 7","  2.0"," 7","  2.2"," 7","  3.9"," 10.5","  37.0"," ","  23.7"," "," 0.00","G","999.9","001000"
"54823099999","2020-01-14","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  26.7"," 8","  10.1"," 8","1031.2"," 8","009.1"," 8"," 11.6"," 8","  3.2"," 8","  4.5"," 12.6","  35.6"," ","  19.6"," "," 0.00","G","  1.2","000000"
"54823099999","2020-01-15","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  31.0"," 8","  16.1"," 8","1031.0"," 8","009.1"," 8","  6.1"," 8","  2.1"," 8","  3.5","999.9","  35.8"," ","  20.1"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-16","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  31.7"," 8","  17.3"," 8","1030.9"," 8","009.1"," 8","  3.4"," 8","  2.4"," 8","  3.9","999.9","  36.1"," ","  22.5"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-17","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  30.9"," 8","  24.9"," 8","1028.5"," 8","006.7"," 8","  1.2"," 8","  2.8"," 8","  6.2"," 11.3","  38.5"," ","  24.4"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-18","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  36.1"," 8","  26.0"," 8","1024.4"," 8","002.8"," 8","  1.5"," 8","  3.4"," 8","  5.4"," 14.6","  43.7"," ","  25.2"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-19","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  36.0"," 8","  19.0"," 8","1023.9"," 8","002.5"," 8","  4.2"," 8","  3.0"," 8","  5.1"," 11.1","  44.8"," ","  27.5"," "," 0.00","G","999.9","100000"
"54823099999","2020-01-20","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  36.5"," 8","  18.3"," 8","1027.7"," 8","006.1"," 8","  5.1"," 8","  3.7"," 8","  5.8"," 14.4","  45.7"," ","  29.1"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-21","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  40.5"," 8","  24.5"," 8","1024.9"," 8","003.5"," 8","  3.5"," 8","  3.4"," 8","  5.2"," 18.5","  45.7"," ","  29.3"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-22","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  39.4"," 8","  30.8"," 8","1024.4"," 8","003.1"," 8","  2.1"," 8","  2.3"," 8","  3.3","999.9","  47.5"," ","  33.8"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-23","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  39.2"," 8","  33.6"," 8","1030.4"," 8","008.9"," 8","  1.0"," 8","  3.6"," 8","  4.3"," 11.1","  47.5"," ","  32.9"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-24","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  37.8"," 8","  22.3"," 8","1035.1"," 8","013.5"," 8","  9.2"," 8","  3.6"," 8","  5.8"," 16.7","  46.4"," ","  33.1"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-25","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  38.5"," 8","  21.5"," 8","1032.3"," 8","010.8"," 8","  6.5"," 8","  3.1"," 8","  4.5","  9.9","  47.5"," ","  32.2"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-26","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  35.2"," 8","  23.6"," 8","1029.8"," 8","008.2"," 8","  3.2"," 8","  4.6"," 8","  6.8"," 15.9","  47.5"," ","  31.8"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-27","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  37.0"," 8","  20.1"," 8","1024.4"," 8","003.0"," 8","  8.2"," 8","  3.7"," 8","  5.8"," 12.6","  44.2"," ","  31.3"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-28","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  35.0"," 8","  24.6"," 8","1025.1"," 8","003.6"," 8","  2.7"," 8","  3.5"," 8","  6.4"," 14.0","  44.2"," ","  28.9"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-29","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  33.0"," 8","  26.5"," 8","1026.1"," 8","004.4"," 8","  1.5"," 8","  2.8"," 8","  5.2"," 11.3","  43.5"," ","  27.7"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-30","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  34.4"," 8","  14.3"," 8","1026.1"," 8","004.4"," 8"," 15.7"," 8","  4.2"," 8","  6.2"," 13.2","  43.2"," ","  27.3"," "," 0.00","G","999.9","000000"
"54823099999","2020-01-31","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  42.4"," 8","  25.1"," 8","1024.7"," 8","003.4"," 8","  3.8"," 8","  4.6"," 8","  8.7"," 17.3","  52.2"," ","  28.6"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-01","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  42.6"," 8","  21.9"," 8","1027.1"," 8","005.8"," 8","  4.7"," 8","  3.4"," 8","  4.9"," 15.2","  52.2"," ","  34.3"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-02","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  35.3"," 8","  22.8"," 8","1029.1"," 8","007.5"," 8","  5.4"," 8","  4.3"," 8","  7.8"," 15.5","  50.4"," ","  28.4"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-03","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  40.1"," 8","  15.4"," 8","1027.1"," 8","005.6"," 8","  9.8"," 8","  6.6"," 8"," 11.7"," 22.3","  46.6"," ","  27.0"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-04","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  33.6"," 7","  24.1"," 7","1029.1"," 7","007.5"," 7","  4.9"," 7","  5.5"," 7","  7.2"," 22.3","  46.6"," ","  26.8"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-05","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  31.3"," 8","  12.8"," 8","1034.7"," 8","012.7"," 8"," 15.3"," 8","  2.8"," 8","  4.7"," 12.0","  42.6"," ","  25.0"," "," 0.00","G","999.9","001000"
"54823099999","2020-02-06","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  31.3"," 8","  26.5"," 8","1033.5"," 8","011.5"," 8","  2.6"," 8","  2.0"," 8","  3.1","999.9","  37.8"," ","  26.2"," "," 0.02","G","999.9","001000"
"54823099999","2020-02-07","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  38.0"," 8","  29.6"," 8","1031.5"," 8","009.8"," 8","  3.4"," 8","  3.4"," 8","  5.8"," 11.8","  44.2"," ","  27.3"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-08","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  38.9"," 8","  31.1"," 8","1032.0"," 8","010.5"," 8","  2.6"," 8","  2.5"," 8","  3.3"," 10.5","  46.8"," ","  32.4"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-09","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  48.9"," 8","  28.7"," 8","1023.7"," 8","002.7"," 8","  5.0"," 8","  5.8"," 8","  7.8"," 14.4","  57.2"," ","  34.0"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-10","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  54.6"," 8","  25.9"," 8","1019.7"," 8","999.0"," 8","  9.4"," 8","  5.3"," 8"," 10.3"," 20.6","  63.5"," ","  40.5"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-11","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  52.8"," 8","  33.0"," 8","1018.2"," 8","997.6"," 8","  7.9"," 8","  4.1"," 8","  5.8"," 20.6","  63.5"," ","  44.8"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-12","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  54.8"," 8","  38.9"," 8","1014.8"," 8","994.2"," 8","  7.9"," 8","  6.1"," 8"," 10.3"," 26.8","  63.5"," ","  44.8"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-13","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  59.9"," 8","  40.9"," 8","1011.8"," 8","991.5"," 8","  9.1"," 8","  5.6"," 8","  9.7"," 26.8","  69.3"," ","  47.1"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-14","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  36.6"," 8","  34.2"," 8","1023.3"," 8","002.2"," 8","  1.8"," 8","  2.6"," 7"," 10.3"," 23.5","  54.7","*","  26.6"," "," 0.62","G","  0.4","111000"
"54823099999","2020-02-15","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  25.4"," 8","  15.3"," 8","1031.0"," 8","009.0"," 8"," 14.8"," 8","  3.7"," 8","  7.8"," 18.6","  54.7"," ","  21.9"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-16","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  29.7"," 8","  10.0"," 8","1030.5"," 8","008.5"," 8"," 18.6"," 8","  3.6"," 8","  5.8"," 15.9","  36.7"," ","  21.4"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-17","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  35.4"," 8","  10.5"," 8","1031.6"," 8","009.8"," 8"," 18.6"," 8","  4.2"," 8","  5.8"," 14.0","  42.8"," ","  23.4"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-18","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  47.7"," 8","  15.7"," 8","1026.2"," 8","005.0"," 8"," 18.6"," 8","  7.7"," 8","  9.7"," 23.5","  55.8"," ","  28.6"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-19","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  47.6"," 8","  22.2"," 8","1025.9"," 8","004.9"," 8"," 15.4"," 8","  4.6"," 8","  7.6"," 22.5","  57.2"," ","  41.2"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-20","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  49.2"," 8","  30.9"," 8","1029.4"," 8","008.3"," 8","  5.8"," 8","  4.6"," 8"," 11.7"," 21.8","  57.4"," ","  41.2"," "," 0.02","G","999.9","010000"
"54823099999","2020-02-21","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  45.8"," 8","  25.2"," 8","1028.8"," 8","007.7"," 8","  6.4"," 8","  3.9"," 8","  6.2"," 21.8","  57.4"," ","  37.6"," "," 0.05","G","999.9","100000"
"54823099999","2020-02-22","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  43.9"," 8","  10.2"," 8","1031.2"," 8","009.9"," 8"," 16.9"," 8","  4.7"," 8","  6.6"," 16.9","  54.3"," ","  36.0"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-23","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  56.2"," 8","  29.3"," 8","1019.7"," 8","999.0"," 8","  7.4"," 8","  9.2"," 8"," 13.8"," 31.3","  61.9"," ","  36.9"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-24","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  48.2"," 8","  44.7"," 8","1016.1"," 8","995.4"," 8","  1.2"," 8","  3.3"," 7","  5.1"," 23.7","  61.9"," ","  42.1"," "," 0.48","G","  0.4","110000"
"54823099999","2020-02-25","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  41.2"," 8","  40.6"," 8","1024.1"," 8","002.9"," 8","  0.4"," 8","  4.0"," 8","  6.4"," 13.8","  56.8"," ","  39.6","*"," 0.03","G","999.9","110000"
"54823099999","2020-02-26","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  40.0"," 8","  27.3"," 8","1031.6"," 8","010.2"," 8"," 10.9"," 8","  5.2"," 8","  7.8"," 18.5","  46.6"," ","  35.4"," "," 0.00","G","999.9","000000"
"54823099999","2020-02-27","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  38.0"," 8","  25.4"," 8","1027.7"," 8","006.2"," 8","  9.0"," 8","  2.0"," 7","  3.3","999.9","  46.6"," ","  32.4"," "," 0.24","G","999.9","111000"
"54823099999","2020-02-28","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  39.6"," 8","  35.3"," 8","1020.1"," 8","998.7"," 8","  4.7"," 8","  3.4"," 8","  4.1"," 10.9","  44.6"," ","  32.4"," "," 0.03","G","  0.4","100000"
"54823099999","2020-02-29","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  41.4"," 8","  37.2"," 8","1020.4"," 8","999.2"," 8","  2.0"," 8","  2.4"," 8","  3.9","999.9","  44.4"," ","  34.5"," "," 0.00","G","999.9","010000"
"54823099999","2020-03-01","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  40.2"," 8","  31.2"," 8","1026.7"," 8","005.3"," 8","  5.9"," 8","  4.6"," 8","  5.8"," 18.8","  49.5"," ","  34.5"," "," 0.02","G","999.9","100000"
"54823099999","2020-03-02","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  44.5"," 8","  25.3"," 8","1024.9"," 8","003.7"," 8","  7.2"," 8","  8.3"," 8"," 15.5"," 28.9","  51.4"," ","  33.1"," "," 0.00","G","999.9","000000"
"54823099999","2020-03-03","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  41.0"," 8","  15.5"," 8","1027.2"," 8","005.9"," 8"," 15.3"," 8","  4.3"," 8","  8.9"," 28.9","  51.4"," ","  32.4","*"," 0.00","G","999.9","000000"
"54823099999","2020-03-04","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  36.3"," 8","  12.4"," 8","1031.2"," 8","009.6"," 8"," 17.4"," 8","  4.2"," 8","  6.6"," 16.5","  50.9"," ","  28.9"," "," 0.00","G","999.9","000000"
"54823099999","2020-03-05","36.6833333","116.9833333","58.0","JINAN TSINAN, CH","  46.6"," 8","  22.8"," 8","1022.0"," 8","000.8"," 8","  9.5"," 8","  7.3"," 8"," 13.2"," 30.3","  52.7"," ","  28.4"," "," 0.00","G","999.9","000000"
