"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"58633099999","2020-01-01","28.9666666","118.8666666","71.0","QU XIAN, CH","  45.5"," 8","  33.9"," 8","1029.9"," 8","019.5"," 8","  4.7"," 8","  3.1"," 8","  5.6"," 18.5","  52.2"," ","  36.7"," "," 0.00","G","999.9","010000"
"58633099999","2020-01-02","28.9666666","118.8666666","71.0","QU XIAN, CH","  52.8"," 8","  44.6"," 8","1027.4"," 8","017.1"," 8","  3.3"," 8","  2.7"," 8","  4.9","999.9","  57.4"," ","  38.8"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-03","28.9666666","118.8666666","71.0","QU XIAN, CH","  52.9"," 8","  48.7"," 8","1025.9"," 8","015.7"," 8","  1.9"," 8","  3.5"," 8","  5.1"," 11.3","  57.6"," ","  46.6"," "," 0.01","G","999.9","010000"
"58633099999","2020-01-04","28.9666666","118.8666666","71.0","QU XIAN, CH","  51.1"," 8","  49.0"," 8","1025.7"," 8","015.5"," 8","  3.2"," 8","  5.6"," 8","  7.6"," 15.7","  57.6"," ","  49.6"," "," 0.03","G","999.9","010000"
"58633099999","2020-01-05","28.9666666","118.8666666","71.0","QU XIAN, CH","  55.2"," 8","  51.1"," 8","1023.1"," 8","013.0"," 8","  2.6"," 8","  4.1"," 8","  7.0"," 15.7","  61.5"," ","  49.8"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-06","28.9666666","118.8666666","71.0","QU XIAN, CH","  62.9"," 8","  54.6"," 8","1017.4"," 8","007.5"," 8","  5.1"," 8","  1.6"," 8","  3.9"," 11.8","  78.8"," ","  50.2"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-07","28.9666666","118.8666666","71.0","QU XIAN, CH","  53.9"," 8","  45.4"," 8","1021.1"," 8","011.0"," 8"," 10.0"," 8"," 10.5"," 8"," 14.4"," 28.7","  78.8"," ","  43.2"," "," 0.00","G","999.9","010000"
"58633099999","2020-01-08","28.9666666","118.8666666","71.0","QU XIAN, CH","  47.8"," 8","  34.9"," 8","1025.9"," 8","015.6"," 8","  6.2"," 8","  7.3"," 8"," 12.4"," 23.9","  68.4"," ","  39.6","*"," 0.00","G","999.9","000000"
"58633099999","2020-01-09","28.9666666","118.8666666","71.0","QU XIAN, CH","  42.5"," 8","  37.6"," 8","1023.4"," 8","013.0"," 8","  1.7"," 8","  7.1"," 8"," 14.0"," 23.3","  57.9"," ","  39.2"," "," 0.60","G","  0.8","010000"
"58633099999","2020-01-10","28.9666666","118.8666666","71.0","QU XIAN, CH","  44.8"," 8","  43.3"," 8","1020.5"," 8","010.2"," 8","  3.8"," 8","  3.0"," 8","  8.0"," 13.4","  45.7"," ","  41.2"," "," 0.74","G","  0.8","010000"
"58633099999","2020-01-11","28.9666666","118.8666666","71.0","QU XIAN, CH","  45.0"," 6","  43.5"," 6","1022.3"," 6","012.0"," 6","  4.4"," 6","  5.2"," 6","  8.7"," 16.9","  46.9"," ","  42.8"," "," 0.18","G","999.9","010000"
"58633099999","2020-01-12","28.9666666","118.8666666","71.0","QU XIAN, CH","  46.1"," 8","  39.3"," 8","1023.8"," 8","013.5"," 8","  6.8"," 8","  4.9"," 8","  7.0"," 16.9","  50.0"," ","  43.5"," "," 0.00","G","999.9","010000"
"58633099999","2020-01-13","28.9666666","118.8666666","71.0","QU XIAN, CH","  46.3"," 7","  36.7"," 7","1023.4"," 7","013.1"," 7","  4.6"," 7","  5.6"," 7","  7.8"," 16.5","  51.3"," ","  43.2"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-14","28.9666666","118.8666666","71.0","QU XIAN, CH","  46.2"," 8","  37.0"," 8","1026.6"," 8","016.3"," 8","  1.9"," 8","  9.1"," 8"," 15.3"," 24.5","  52.5"," ","  41.4"," "," 0.00","G","999.9","010000"
"58633099999","2020-01-15","28.9666666","118.8666666","71.0","QU XIAN, CH","  41.3"," 8","  39.5"," 8","1024.0"," 8","013.6"," 8","  1.6"," 8","  6.9"," 8"," 12.8"," 24.5","  52.5"," ","  39.6"," "," 1.09","G","  0.4","010000"
"58633099999","2020-01-16","28.9666666","118.8666666","71.0","QU XIAN, CH","  42.7"," 8","  41.7"," 8","1025.5"," 8","015.1"," 8","  2.2"," 8","  4.4"," 8","  6.2"," 13.0","  45.7"," ","  39.6"," "," 0.26","G","999.9","010000"
"58633099999","2020-01-17","28.9666666","118.8666666","71.0","QU XIAN, CH","  42.1"," 8","  40.3"," 8","1027.2"," 8","016.8"," 8","  3.6"," 8","  3.0"," 8","  5.2"," 13.0","  45.7"," ","  39.7"," "," 0.18","G","999.9","010000"
"58633099999","2020-01-18","28.9666666","118.8666666","71.0","QU XIAN, CH","  42.4"," 8","  36.8"," 8","1025.5"," 8","015.1"," 8","  4.3"," 8","  4.3"," 8","  8.9"," 13.6","  44.8"," ","  40.1"," "," 0.00","G","999.9","010000"
"58633099999","2020-01-19","28.9666666","118.8666666","71.0","QU XIAN, CH","  44.1"," 8","  37.8"," 8","1025.7"," 8","015.3"," 8","  3.8"," 8","  5.3"," 8","  8.4"," 15.7","  51.6"," ","  37.6"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-20","28.9666666","118.8666666","71.0","QU XIAN, CH","  48.5"," 8","  36.5"," 8","1026.6"," 8","016.3"," 8","  3.6"," 8","  3.8"," 8","  6.2"," 13.0","  57.4"," ","  35.6"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-21","28.9666666","118.8666666","71.0","QU XIAN, CH","  47.5"," 8","  39.7"," 8","1023.0"," 8","012.7"," 8","  2.6"," 8","  4.0"," 8","  8.0"," 15.9","  57.4"," ","  36.5"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-22","28.9666666","118.8666666","71.0","QU XIAN, CH","  53.6"," 8","  48.4"," 8","1020.1"," 8","009.9"," 8","  2.0"," 8","  3.5"," 8","  5.6"," 11.7","  61.3"," ","  43.0"," "," 0.02","G","999.9","010000"
"58633099999","2020-01-23","28.9666666","118.8666666","71.0","QU XIAN, CH","  50.0"," 7","  47.7"," 7","1022.6"," 7","012.4"," 7","  6.3"," 7","  8.9"," 7"," 11.3"," 22.3","  61.3"," ","  45.5"," "," 1.06","G","  0.8","010000"
"58633099999","2020-01-24","28.9666666","118.8666666","71.0","QU XIAN, CH","  47.8"," 8","  45.4"," 8","1026.2"," 8","015.9"," 8","  5.8"," 8","  9.0"," 8"," 11.7"," 22.9","  53.2"," ","  45.3"," "," 0.79","G","  0.4","010000"
"58633099999","2020-01-25","28.9666666","118.8666666","71.0","QU XIAN, CH","  44.8"," 8","  43.2"," 8","1024.9"," 8","014.5"," 8","  6.5"," 8","  8.5"," 8"," 10.9"," 19.2","  50.5"," ","  43.2"," "," 0.98","G","  0.4","010000"
"58633099999","2020-01-26","28.9666666","118.8666666","71.0","QU XIAN, CH","  43.5"," 8","  42.5"," 8","1020.9"," 8","010.5"," 8","  3.2"," 8","  6.3"," 8","  9.7"," 17.7","  46.4"," ","  39.6"," "," 0.93","G","999.9","010000"
"58633099999","2020-01-27","28.9666666","118.8666666","71.0","QU XIAN, CH","  41.1"," 8","  39.0"," 8","1022.7"," 8","012.3"," 8","  5.2"," 8","  6.0"," 8","  8.7"," 17.7","  45.7"," ","  39.4"," "," 0.02","G","999.9","010000"
"58633099999","2020-01-28","28.9666666","118.8666666","71.0","QU XIAN, CH","  42.4"," 8","  38.3"," 8","1024.5"," 8","014.1"," 8","  9.8"," 8","  5.1"," 8","  8.0"," 14.0","  46.0"," ","  37.6"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-29","28.9666666","118.8666666","71.0","QU XIAN, CH","  42.8"," 8","  31.6"," 8","1025.3"," 8","014.9"," 8","  8.2"," 8","  5.7"," 8","  9.5"," 16.9","  51.6"," ","  34.5"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-30","28.9666666","118.8666666","71.0","QU XIAN, CH","  42.4"," 8","  31.6"," 8","1025.5"," 8","015.1"," 8","  3.7"," 8","  5.9"," 8"," 10.1"," 19.8","  53.2"," ","  31.5"," "," 0.00","G","999.9","000000"
"58633099999","2020-01-31","28.9666666","118.8666666","71.0","QU XIAN, CH","  43.0"," 8","  30.6"," 8","1026.5"," 8","016.1"," 8","  5.0"," 8","  2.9"," 8","  4.5","999.9","  56.8"," ","  30.6"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-01","28.9666666","118.8666666","71.0","QU XIAN, CH","  48.0"," 8","  28.6"," 8","1025.9"," 8","015.6"," 8","  8.4"," 8","  6.2"," 8","  8.7"," 15.9","  57.9"," ","  32.5"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-02","28.9666666","118.8666666","71.0","QU XIAN, CH","  49.0"," 8","  40.7"," 8","1025.8"," 8","015.5"," 8","  4.6"," 8","  2.9"," 8","  5.4"," 12.8","  57.9"," ","  35.8"," "," 0.06","G","999.9","010000"
"58633099999","2020-02-03","28.9666666","118.8666666","71.0","QU XIAN, CH","  47.8"," 8","  41.2"," 8","1026.7"," 8","016.4"," 8","  6.5"," 8","  5.6"," 8","  7.6"," 13.4","  56.1"," ","  45.1"," "," 0.00","G","999.9","010000"
"58633099999","2020-02-04","28.9666666","118.8666666","71.0","QU XIAN, CH","  45.2"," 7","  42.8"," 7","1026.2"," 7","015.9"," 7","  1.8"," 7","  4.3"," 7","  6.2"," 13.2","  50.5"," ","  40.1"," "," 0.06","G","999.9","010000"
"58633099999","2020-02-05","28.9666666","118.8666666","71.0","QU XIAN, CH","  49.7"," 8","  37.8"," 8","1027.5"," 8","017.2"," 8","  7.2"," 8"," 10.5"," 8"," 14.0"," 27.2","  55.9"," ","  40.1"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-06","28.9666666","118.8666666","71.0","QU XIAN, CH","  42.6"," 8","  40.1"," 8","1026.6"," 8","016.2"," 8","  7.0"," 8"," 10.0"," 8"," 14.4"," 27.2","  55.9"," ","  40.5","*"," 0.89","G","  0.4","010000"
"58633099999","2020-02-07","28.9666666","118.8666666","71.0","QU XIAN, CH","  44.3"," 8","  41.2"," 8","1029.7"," 8","019.3"," 8"," 12.4"," 8","  3.4"," 8","  5.6"," 17.9","  46.4"," ","  40.3"," "," 0.00","G","999.9","010000"
"58633099999","2020-02-08","28.9666666","118.8666666","71.0","QU XIAN, CH","  46.7"," 8","  39.6"," 8","1031.9"," 8","021.5"," 8","  9.2"," 8","  5.9"," 8","  8.0"," 15.9","  53.6"," ","  40.5"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-09","28.9666666","118.8666666","71.0","QU XIAN, CH","  46.8"," 8","  37.5"," 8","1029.4"," 8","019.0"," 8","  6.3"," 8","  3.2"," 8","  5.8"," 13.0","  57.2"," ","  37.8"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-10","28.9666666","118.8666666","71.0","QU XIAN, CH","  47.4"," 8","  41.6"," 8","1024.5"," 8","014.2"," 8","  3.4"," 8","  2.9"," 8","  6.0","  9.9","  57.2"," ","  37.8"," "," 0.01","G","999.9","010000"
"58633099999","2020-02-11","28.9666666","118.8666666","71.0","QU XIAN, CH","  50.9"," 8","  46.9"," 8","1020.6"," 8","010.4"," 8","  2.5"," 8","  1.1"," 8","  1.9","999.9","  54.9"," ","  39.9"," "," 1.09","G","  1.2","010000"
"58633099999","2020-02-12","28.9666666","118.8666666","71.0","QU XIAN, CH","  56.5"," 8","  53.7"," 8","1018.6"," 8","008.5"," 8","  6.9"," 8","  3.8"," 8","  7.4"," 11.7","  64.9"," ","  47.8"," "," 0.11","G","999.9","100000"
"58633099999","2020-02-13","28.9666666","118.8666666","71.0","QU XIAN, CH","  57.3"," 8","  55.9"," 8","1015.9"," 8","005.9"," 8","  1.1"," 8","  2.1"," 8","  4.1"," 10.5","  64.9"," ","  50.0"," "," 0.06","G","999.9","110000"
"58633099999","2020-02-14","28.9666666","118.8666666","71.0","QU XIAN, CH","  56.8"," 8","  55.6"," 8","1016.4"," 8","006.4"," 8","  2.7"," 8","  2.1"," 8","  3.5","999.9","  61.2"," ","  53.6"," "," 0.01","G","999.9","110000"
"58633099999","2020-02-15","28.9666666","118.8666666","71.0","QU XIAN, CH","  49.1"," 8","  47.9"," 8","1021.1"," 8","010.9"," 8","  5.4"," 8","  6.8"," 8"," 12.4"," 22.5","  59.9"," ","  37.4"," "," 1.87","G","  1.2","110000"
"58633099999","2020-02-16","28.9666666","118.8666666","71.0","QU XIAN, CH","  39.8"," 8","  29.9"," 8","1030.7"," 8","020.2"," 8"," 12.4"," 8","  3.6"," 8","  9.1"," 16.5","  59.2"," ","  31.1"," "," 0.00","G","999.9","010000"
"58633099999","2020-02-17","28.9666666","118.8666666","71.0","QU XIAN, CH","  41.5"," 8","  25.8"," 8","1033.1"," 8","022.6"," 8"," 12.1"," 8","  3.6"," 8","  6.8"," 13.8","  54.0"," ","  30.4"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-18","28.9666666","118.8666666","71.0","QU XIAN, CH","  44.0"," 8","  26.1"," 8","1030.2"," 8","019.8"," 8"," 12.1"," 8","  4.7"," 8","  8.2"," 14.4","  55.6"," ","  30.2"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-19","28.9666666","118.8666666","71.0","QU XIAN, CH","  45.6"," 8","  35.5"," 8","1028.0"," 8","017.6"," 8","  9.1"," 8","  1.5"," 8","  2.5","999.9","  55.6"," ","  35.6"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-20","28.9666666","118.8666666","71.0","QU XIAN, CH","  55.1"," 8","  37.3"," 8","1029.1"," 8","018.9"," 8"," 10.5"," 8","  6.9"," 8","  9.1"," 16.9","  65.3"," ","  39.4"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-21","28.9666666","118.8666666","71.0","QU XIAN, CH","  55.5"," 8","  44.8"," 8","1029.9"," 8","019.6"," 8","  8.8"," 8","  3.1"," 8","  6.2"," 16.7","  65.3"," ","  43.5"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-22","28.9666666","118.8666666","71.0","QU XIAN, CH","  58.4"," 8","  37.9"," 8","1030.8"," 8","020.6"," 8","  9.7"," 8","  6.9"," 8","  8.4"," 17.5","  67.1"," ","  46.9"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-23","28.9666666","118.8666666","71.0","QU XIAN, CH","  58.6"," 8","  44.7"," 8","1025.0"," 8","015.0"," 8","  5.4"," 8","  3.7"," 8","  6.6"," 15.2","  70.0"," ","  50.4"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-24","28.9666666","118.8666666","71.0","QU XIAN, CH","  63.5"," 8","  52.3"," 8","1018.2"," 8","008.2"," 8","  5.5"," 8","  2.2"," 8","  3.9","999.9","  76.5"," ","  49.8"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-25","28.9666666","118.8666666","71.0","QU XIAN, CH","  69.0"," 8","  57.0"," 8","1017.4"," 8","007.6"," 8","  7.1"," 8","  4.1"," 8","  7.4"," 16.1","  80.1"," ","  53.6"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-26","28.9666666","118.8666666","71.0","QU XIAN, CH","  56.5"," 7","  51.7"," 7","1023.8"," 7","013.7"," 7","  3.8"," 7"," 10.9"," 7"," 13.0"," 22.5","  80.1"," ","  50.7"," "," 0.02","G","999.9","010000"
"58633099999","2020-02-27","28.9666666","118.8666666","71.0","QU XIAN, CH","  53.7"," 8","  46.2"," 8","1023.2"," 8","013.0"," 8","  3.8"," 8","  7.8"," 8"," 12.4"," 22.5","  63.0"," ","  48.6"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-28","28.9666666","118.8666666","71.0","QU XIAN, CH","  61.5"," 8","  52.9"," 8","1016.4"," 8","006.5"," 8","  4.1"," 8","  3.1"," 8","  5.8"," 13.4","  70.0"," ","  48.0"," "," 0.00","G","999.9","000000"
"58633099999","2020-02-29","28.9666666","118.8666666","71.0","QU XIAN, CH","  57.1"," 8","  52.9"," 8","1015.9"," 8","005.9"," 8","  2.3"," 8","  4.2"," 8","  5.8"," 14.8","  70.0"," ","  50.4"," "," 0.66","G","  0.8","010000"
"58633099999","2020-03-01","28.9666666","118.8666666","71.0","QU XIAN, CH","  52.6"," 8","  49.0"," 8","1022.0"," 8","011.9"," 8","  5.6"," 8","  6.2"," 8","  8.7"," 16.9","  63.5"," ","  50.0"," "," 0.02","G","999.9","010000"
"58633099999","2020-03-02","28.9666666","118.8666666","71.0","QU XIAN, CH","  50.6"," 8","  44.0"," 8","1024.1"," 8","013.9"," 8","  4.3"," 8","  8.4"," 8"," 13.2"," 20.4","  55.4"," ","  46.6"," "," 0.37","G","  0.4","010000"
"58633099999","2020-03-03","28.9666666","118.8666666","71.0","QU XIAN, CH","  48.0"," 8","  46.5"," 8","1024.0"," 8","013.7"," 8","  1.8"," 8","  6.0"," 8","  7.6"," 18.5","  55.4"," ","  46.6"," "," 0.53","G","  0.4","010000"
"58633099999","2020-03-04","28.9666666","118.8666666","71.0","QU XIAN, CH","  47.0"," 8","  44.2"," 8","1027.5"," 8","017.2"," 8","  1.4"," 8","  6.7"," 8","  9.3"," 16.1","  49.6"," ","  45.7"," "," 0.11","G","999.9","010000"
"58633099999","2020-03-05","28.9666666","118.8666666","71.0","QU XIAN, CH","  50.1"," 8","  38.5"," 8","1023.9"," 8","013.7"," 8","  6.9"," 8","  6.1"," 8"," 11.3"," 22.9","  58.3"," ","  44.6"," "," 0.00","G","999.9","010000"
"58633099999","2020-03-06","28.9666666","118.8666666","71.0","QU XIAN, CH","  51.0"," 8","  46.8"," 8","1017.1"," 8","006.9"," 8","  2.2"," 8","  2.7"," 8","  6.6"," 12.2","  58.3"," ","  46.0"," "," 0.29","G","999.9","010000"
"58633099999","2020-03-07","28.9666666","118.8666666","71.0","QU XIAN, CH","  57.2"," 8","  53.6"," 8","1015.7"," 8","005.6"," 8","  1.8"," 8","  4.1"," 8","  8.0"," 17.5","  61.0"," ","  48.2"," "," 0.07","G","999.9","010000"
