"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"51463099999","2020-01-01","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  17.5"," 8","  11.6"," 8","1034.7"," 8","917.8"," 8","  2.2"," 8","  3.2"," 8","  5.8","999.9","  25.2"," ","   8.4"," "," 0.00","I","  5.5","100000"
"51463099999","2020-01-02","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  15.9"," 8","  13.2"," 8","1034.5"," 8","917.5"," 8","  0.8"," 8","  3.4"," 8","  5.2","999.9","  25.2"," ","  11.7"," "," 0.00","I","  5.5","100000"
"51463099999","2020-01-03","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  12.0"," 8","   9.0"," 8","1031.9"," 8","914.6"," 8","  0.8"," 8","  2.1"," 8","  2.9","999.9","  19.6"," ","   5.9"," "," 0.00","I","  5.5","100000"
"51463099999","2020-01-04","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  14.6"," 8","   7.3"," 8","1033.1"," 8","915.6"," 8","  4.4"," 8","  3.2"," 8","  5.8","999.9","  23.0"," ","   5.9"," "," 0.00","I","  5.1","000000"
"51463099999","2020-01-05","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  13.1"," 8","   6.6"," 8","1031.9"," 8","914.9"," 8","  2.8"," 8","  3.1"," 7","  5.8","999.9","  26.6"," ","   5.5"," "," 0.00","I","  5.5","100000"
"51463099999","2020-01-06","43.7833333","87.6166666","919.0","WU LU MU QI, CH","   8.3"," 8","   3.7"," 8","1030.9"," 8","912.5"," 8","  1.0"," 8","  2.5"," 8","  3.9"," 10.1","  26.6"," ","   5.5"," "," 0.00","I","  5.5","100000"
"51463099999","2020-01-07","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  13.9"," 8","   4.9"," 8","1033.3"," 8","915.8"," 8","  5.0"," 8","  3.8"," 8","  5.8","999.9","  23.9"," ","   5.7"," "," 0.00","I","  5.5","000000"
"51463099999","2020-01-08","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  11.3"," 8","   3.4"," 8","1035.1"," 8","917.0"," 8","  3.8"," 8","  3.7"," 8","  6.0","999.9","  23.9"," ","   6.3"," "," 0.00","I","  5.5","000000"
"51463099999","2020-01-09","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  13.9"," 8","   6.0"," 8","1033.4"," 8","915.8"," 8","  2.2"," 8","  3.0"," 8","  5.8","  9.7","  20.5"," ","   6.3"," "," 0.00","I","  5.5","000000"
"51463099999","2020-01-10","43.7833333","87.6166666","919.0","WU LU MU QI, CH","   7.7"," 8","   2.0"," 8","1034.3"," 8","915.5"," 8","  1.8"," 8","  3.5"," 7","  4.1","999.9","  20.1"," ","  -0.9"," "," 0.00","I","  5.9","100000"
"51463099999","2020-01-11","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  11.0"," 7","   3.1"," 7","1033.5"," 7","915.7"," 7","  5.4"," 7","  4.0"," 6","  6.0","999.9","  23.0"," ","  -0.9"," "," 0.00","I","  5.5","100000"
"51463099999","2020-01-12","43.7833333","87.6166666","919.0","WU LU MU QI, CH","   4.4"," 8","  -1.0"," 8","1030.4"," 8","911.2"," 8","  1.1"," 8","  2.5"," 8","  3.9","999.9","  23.0"," ","  -1.3"," "," 0.00","I","  5.5","000000"
"51463099999","2020-01-13","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  10.3"," 7","   4.6"," 7","1028.0"," 7","910.1"," 7","  1.8"," 7","  2.7"," 7","  4.3","999.9","  14.7"," ","  -1.3"," "," 0.00","G","  5.5","000000"
"51463099999","2020-01-14","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  16.4"," 8","  11.4"," 8","1032.6"," 8","915.5"," 8","  1.1"," 8","  1.9"," 8","  2.3","999.9","  18.9"," ","   6.3"," "," 0.24","G","  0.4","001000"
"51463099999","2020-01-15","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  18.3"," 8","  14.3"," 8","1034.8"," 8","918.4"," 8","  1.5"," 8","  2.0"," 7","  3.7","999.9","  26.4"," ","  10.4"," "," 0.03","G","  8.3","101000"
"51463099999","2020-01-16","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  18.7"," 8","  15.3"," 8","1037.6"," 8","920.7"," 8","  1.9"," 8","  2.1"," 8","  3.9"," 12.4","  26.4"," ","  10.9"," "," 0.06","G","999.9","001000"
"51463099999","2020-01-17","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  16.2"," 8","   8.7"," 8","1043.1"," 8","925.5"," 8","  8.3"," 8","  4.9"," 8","  9.7"," 16.1","  26.4"," ","  11.8"," "," 0.05","G","  9.1","001000"
"51463099999","2020-01-18","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  17.6"," 8","   4.8"," 8","1036.4"," 8","919.5"," 8"," 12.6"," 8","  5.5"," 8","  7.8"," 17.7","  27.1"," ","  11.3"," "," 0.00","I","  8.7","000000"
"51463099999","2020-01-19","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  14.6"," 8","   4.5"," 8","1027.6"," 8","911.3"," 8","  6.7"," 8","  3.4"," 8","  5.8"," 13.8","  27.1"," ","   7.7"," "," 0.00","I","  8.3","000000"
"51463099999","2020-01-20","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  22.0"," 8","   9.5"," 8","1027.1"," 8","911.7"," 8","  7.9"," 8","  3.2"," 7","  4.3"," 10.7","  30.7"," ","   7.7"," "," 0.00","I","  7.9","000000"
"51463099999","2020-01-21","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  18.4"," 8","   9.6"," 8","1028.2"," 8","912.8"," 8","  3.7"," 8","  2.6"," 8","  4.1","999.9","  30.7"," ","  10.6"," "," 0.00","I","  7.9","000000"
"51463099999","2020-01-22","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  16.6"," 8","   7.9"," 8","1032.7"," 8","916.1"," 8","  4.7"," 8","  3.6"," 8","  6.8","999.9","  28.6"," ","  10.6"," "," 0.00","I","  7.9","000000"
"51463099999","2020-01-23","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  16.7"," 8","   7.8"," 8","1035.9"," 8","918.9"," 8","  3.7"," 8","  3.3"," 8","  5.8","  9.9","  27.5"," ","  11.5"," "," 0.00","I","  7.9","000000"
"51463099999","2020-01-24","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  25.8"," 7","   9.6"," 7","1026.1"," 7","911.6"," 7","  8.6"," 7","  8.3"," 7"," 15.5"," 36.1","  34.0"," ","   5.5"," "," 0.00","I","  6.3","100000"
"51463099999","2020-01-25","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  19.4"," 8","  10.1"," 8","1028.1"," 8","912.5"," 8","  6.6"," 8","  2.2"," 8","  3.7"," 32.8","  34.0"," ","   5.4"," "," 0.00","I","  6.3","000000"
"51463099999","2020-01-26","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  16.2"," 8","   9.7"," 8","1029.4"," 8","913.4"," 8","  2.2"," 8","  2.5"," 8","  4.1","  9.7","  30.2"," ","   7.0"," "," 0.00","I","  6.3","000000"
"51463099999","2020-01-27","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  17.6"," 8","   9.6"," 8","1028.0"," 8","912.0"," 8","  3.9"," 8","  2.8"," 8","  5.4"," 10.3","  30.0"," ","  10.4"," "," 0.00","I","  6.3","000000"
"51463099999","2020-01-28","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  21.9"," 8","  11.7"," 8","1032.3"," 8","916.4"," 8","  8.0"," 8","  4.7"," 8","  7.8"," 13.0","  32.5"," ","   9.3"," "," 0.00","I","  5.9","100000"
"51463099999","2020-01-29","43.7833333","87.6166666","919.0","WU LU MU QI, CH","  18.1"," 8","  11.6"," 8","1035.6"," 8","919.3"," 8","  3.2"," 8","  2.5"," 8","  3.9"," 13.0","  32.5"," ","   7.0"," "," 0.00","I","  5.9","000000"
