"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"27577099999","2020-01-01","55.5333333","45.5","125.0","SERGAC, RS","  27.2"," 8","  25.2"," 8","1001.0"," 8","985.3"," 8","  8.7"," 8","  4.6"," 8","  7.8","999.9","  32.4"," ","  21.0","*"," 0.20","F","  5.9","001000"
"27577099999","2020-01-02","55.5333333","45.5","125.0","SERGAC, RS","  23.7"," 8","  20.9"," 8","1011.1"," 8","995.1"," 8","  5.0"," 8","  4.4"," 8","  5.8","999.9","  27.3","*","  20.7"," "," 0.03","E","  7.1","001000"
"27577099999","2020-01-03","55.5333333","45.5","125.0","SERGAC, RS","  31.6"," 8","  29.2"," 8","1010.7"," 8","995.0"," 8","  9.9"," 8","  7.8"," 8","  9.7","999.9","  33.8"," ","  24.4"," "," 0.08","F","  7.9","001000"
"27577099999","2020-01-04","55.5333333","45.5","125.0","SERGAC, RS","  29.9"," 8","  26.0"," 8","1004.8"," 8","989.1"," 8"," 12.4"," 8","  8.7"," 8","  9.7","999.9","  31.1","*","  28.6","*"," 0.00","F","  7.9","000000"
"27577099999","2020-01-05","55.5333333","45.5","125.0","SERGAC, RS","  29.5"," 7","  26.4"," 7","1010.4"," 7","994.6"," 7"," 12.4"," 7","  4.7"," 7","  7.8","999.9","  32.5","*","  26.4","*"," 0.00","E","  7.9","000000"
"27577099999","2020-01-06","55.5333333","45.5","125.0","SERGAC, RS","  25.9"," 8","  23.6"," 8","1023.9"," 8","007.8"," 8"," 11.2"," 8","  1.9"," 6","  1.9","999.9","  28.8"," ","  23.5","*"," 0.00","F","  7.9","001000"
"27577099999","2020-01-07","55.5333333","45.5","125.0","SERGAC, RS","  21.5"," 8","  19.3"," 8","1027.3"," 8","011.0"," 8"," 11.0"," 8","  2.3"," 6","  3.9","999.9","  26.8"," ","  13.5","*"," 0.00","F","  7.9","000000"
"27577099999","2020-01-08","55.5333333","45.5","125.0","SERGAC, RS","  17.5"," 8","  14.2"," 8","1026.6"," 8","010.2"," 8"," 11.0"," 8","  4.7"," 7","  7.8","999.9","  24.6","*","   5.5"," "," 0.00","F","  7.9","000000"
"27577099999","2020-01-09","55.5333333","45.5","125.0","SERGAC, RS","  25.8"," 8","  21.3"," 8","1015.5"," 8","999.5"," 8","  8.7"," 8","  8.0"," 8","  9.7","999.9","  27.0"," ","  23.5"," "," 0.03","F","  7.9","001000"
"27577099999","2020-01-10","55.5333333","45.5","125.0","SERGAC, RS","  30.6"," 8","  26.9"," 8","1014.0"," 8","998.3"," 8"," 12.4"," 8","  4.4"," 8","  5.8","999.9","  32.9"," ","  25.2"," "," 0.08","F","  8.7","000000"
"27577099999","2020-01-11","55.5333333","45.5","125.0","SERGAC, RS","  28.9"," 6","  25.9"," 6","1015.1"," 6","999.2"," 6"," 10.6"," 6","  2.4"," 4","  3.9","999.9","  30.7","*","  23.7","*"," 0.00","E","  8.7","000000"
